1,0,0.95,1
2,1,1.04,1
3,2,1.16,1
4,3,1.08,1
5,4,0.85,1
6,5,0.93,1
7,6,1.15,1
8,7,1.10,1
9,8,1.04,1
10,9,1.18,1
11,10,1.18,1
12,11,1.02,1
13,12,0.89,1
14,13,0.81,1
15,14,1.11,1
16,15,0.85,1
17,16,1.06,1
18,17,0.91,1
19,18,0.88,1
20,19,0.88,1
21,20,1.00,1
22,21,0.96,1
23,22,1.05,1
24,23,1.03,1
25,24,0.90,1
26,25,0.83,1
27,26,1.09,1
28,27,0.93,1
29,28,0.85,1
30,29,1.02,1
31,30,0.93,1
32,31,0.85,1
33,32,1.06,1
34,33,0.90,1
35,34,1.07,1
36,35,1.19,1
37,36,0.93,1
38,37,0.98,1
39,38,1.06,1
40,39,0.82,1
41,40,1.06,1
42,41,0.98,1
43,42,1.13,1
44,43,1.13,1
45,44,1.09,1
46,45,0.80,1
47,46,0.93,1
48,47,1.04,1
49,48,0.99,1
50,49,0.94,1
51,50,1.17,1
52,51,0.83,1
53,52,0.95,1
54,53,0.82,1
55,54,1.15,1
56,55,1.18,1
57,56,1.19,1
58,57,0.93,1
59,58,0.97,1
60,59,0.82,1
61,60,1.04,1
62,61,1.02,1
63,62,1.04,1
64,63,0.82,1
65,64,1.04,1
66,65,1.12,1
67,66,1.15,1
68,67,1.19,1
69,68,0.94,1
70,69,1.12,1
71,70,1.12,1
72,71,0.88,1
73,72,1.05,1
74,73,0.86,1
75,74,1.01,1
76,75,0.82,1
77,76,1.02,1
78,77,1.12,1
79,78,1.13,1
80,79,0.90,1
81,80,1.09,1
82,81,0.84,1
83,82,1.13,1
84,83,1.10,1
85,84,1.04,1
86,85,0.89,1
87,86,1.10,1
88,87,1.03,1
89,88,0.94,1
90,89,1.08,1
91,90,0.80,1
92,91,1.19,1
93,92,0.80,1
94,93,1.03,1
95,94,0.98,1
96,95,0.84,1
97,96,1.13,1
98,97,1.11,1
99,98,0.88,1
100,99,1.16,1
101,0,1.09,2
102,1,0.92,2
103,2,0.84,2
104,3,0.85,2
105,4,0.94,2
106,5,0.93,2
107,6,0.82,2
108,7,1.11,2
109,8,1.03,2
110,9,1.14,2
111,10,1.10,2
112,11,0.82,2
113,12,0.89,2
114,13,0.94,2
115,14,1.19,2
116,15,0.85,2
117,16,0.95,2
118,17,0.88,2
119,18,1.06,2
120,19,0.96,2
121,20,1.05,2
122,21,0.93,2
123,22,0.93,2
124,23,0.86,2
125,24,1.13,2
126,25,0.94,2
127,26,0.99,2
128,27,0.89,2
129,28,1.02,2
130,29,0.97,2
131,30,0.89,2
132,31,0.94,2
133,32,0.84,2
134,33,1.06,2
135,34,0.90,2
136,35,1.06,2
137,36,1.03,2
138,37,0.94,2
139,38,0.95,2
140,39,0.86,2
141,40,1.18,2
142,41,1.16,2
143,42,1.19,2
144,43,1.05,2
145,44,0.86,2
146,45,0.84,2
147,46,1.11,2
148,47,1.14,2
149,48,0.82,2
150,49,0.99,2
151,50,1.12,2
152,51,0.92,2
153,52,0.80,2
154,53,0.93,2
155,54,0.83,2
156,55,0.96,2
157,56,1.18,2
158,57,1.17,2
159,58,0.91,2
160,59,1.19,2
161,60,1.13,2
162,61,1.12,2
163,62,0.89,2
164,63,0.85,2
165,64,1.04,2
166,65,0.95,2
167,66,1.17,2
168,67,1.03,2
169,68,0.83,2
170,69,0.92,2
171,70,1.02,2
172,71,0.81,2
173,72,1.12,2
174,73,0.99,2
175,74,0.98,2
176,75,1.09,2
177,76,0.93,2
178,77,1.08,2
179,78,0.80,2
180,79,1.09,2
181,80,1.03,2
182,81,1.04,2
183,82,0.87,2
184,83,0.83,2
185,84,1.05,2
186,85,1.17,2
187,86,0.93,2
188,87,1.10,2
189,88,1.02,2
190,89,1.14,2
191,90,1.08,2
192,91,1.05,2
193,92,0.82,2
194,93,0.96,2
195,94,0.92,2
196,95,0.86,2
197,96,1.07,2
198,97,1.13,2
199,98,0.80,2
200,99,1.11,2
201,0,1.09,3
202,1,0.92,3
203,2,0.84,3
204,3,0.85,3
205,4,0.94,3
206,5,0.93,3
207,6,0.82,3
208,7,1.11,3
209,8,1.03,3
210,9,1.14,3
211,10,1.10,3
212,11,0.82,3
213,12,0.89,3
214,13,0.94,3
215,14,1.19,3
216,15,0.85,3
217,16,0.95,3
218,17,0.88,3
219,18,1.06,3
